p,q,h,L2 error
 2,  3,  0, 4.118206e-02
 2,  3,  1, 5.243623e-01
 2,  3,  2, 1.171916e-01
 2,  3,  3, 3.333673e-02
 2,  3,  4, 9.496052e-03
 2,  3,  5, 3.412234e-03
 2,  4,  0, 4.891262e-01
 2,  4,  1, 2.188828e+00
 2,  4,  2, 1.556728e-02
 2,  4,  3, 1.437757e-02
 2,  4,  4, 8.089644e-05
 2,  4,  5, 6.828537e-04
 2,  5,  0, 8.131753e-01
 2,  5,  1, 4.879242e-02
 2,  5,  2, 3.006306e-02
 2,  5,  3, 1.102217e-03
 2,  5,  4, 3.657858e-04
 2,  5,  5, 1.237319e-03
 2,  6,  0, 2.426238e-01
 2,  6,  1, 2.681955e-01
 2,  6,  2, 2.387201e-02
 2,  6,  3, 1.384808e-04
 2,  6,  4, 5.971737e-03
 2,  6,  5, 7.008187e-03
 2,  7,  0, 6.829651e-02
 2,  7,  1, 2.186199e-01
 2,  7,  2, 1.309408e-02
 2,  7,  3, 3.847412e-04
 2,  7,  4, 2.801029e-05
 2,  7,  5, 1.272251e-04
 2,  8,  0, 4.222733e-02
 2,  8,  1, 2.332461e-01
 2,  8,  2, 8.098886e-03
 2,  8,  3, 1.831856e-04
 2,  8,  4, 2.218449e-03
 2,  8,  5, 2.387056e-04
 2,  9,  0, 4.274138e-02
 2,  9,  1, 2.274231e-01
 2,  9,  2, 1.313515e-02
 2,  9,  3, 1.791479e-04
 2,  9,  4, 1.224976e-04
 2,  9,  5, 5.958587e-05
 2, 10,  0, 4.231824e-02
 2, 10,  1, 2.131032e-01
 2, 10,  2, 1.111994e-02
 2, 10,  3, 1.486438e-04
 2, 10,  4, 6.637369e-04
 2, 10,  5, 1.034553e-03
 3,  3,  0, 4.117857e-02
 3,  3,  1, 3.955817e-01
 3,  3,  2, 2.921907e-01
 3,  3,  3, 3.199937e-01
 3,  3,  4, 3.211863e-01
 3,  3,  5, 3.043311e-01
 3,  4,  0, 7.043441e-01
 3,  4,  1, 1.727052e-01
 3,  4,  2, 1.394798e-01
 3,  4,  3, 7.415688e-03
 3,  4,  4, 1.171826e-03
 3,  4,  5, 4.618158e-04
 3,  5,  0, 7.540563e-01
 3,  5,  1, 3.013411e-02
 3,  5,  2, 3.930964e-02
 3,  5,  3, 1.011464e-03
 3,  5,  4, 4.048634e-04
 3,  5,  5, 1.509892e-03
 3,  6,  0, 1.872302e-01
 3,  6,  1, 1.468963e-02
 3,  6,  2, 1.554396e-03
 3,  6,  3, 1.277509e-04
 3,  6,  4, 7.042418e-04
 3,  6,  5, 1.795457e-04
 3,  7,  0, 5.802442e-02
 3,  7,  1, 2.369445e-02
 3,  7,  2, 2.270011e-03
 3,  7,  3, 1.738793e-04
 3,  7,  4, 3.589185e-03
 3,  7,  5, 1.207343e-02
 3,  8,  0, 4.149333e-02
 3,  8,  1, 4.600456e-02
 3,  8,  2, 7.906986e-04
 3,  8,  3, 8.864092e-04
 3,  8,  4, 3.365125e-03
 3,  8,  5, 4.957752e-04
 3,  9,  0, 4.203411e-02
 3,  9,  1, 3.542965e-02
 3,  9,  2, 1.120257e-03
 3,  9,  3, 2.258196e-04
 3,  9,  4, 2.908527e-04
 3,  9,  5, 2.378662e-04
 3, 10,  0, 4.206072e-02
 3, 10,  1, 4.707653e-02
 3, 10,  2, 2.780277e-03
 3, 10,  3, 2.162181e-03
 3, 10,  4, 1.857014e-04
 3, 10,  5, 2.633277e-04
 4,  3,  0, 4.117504e-02
 4,  3,  1, 3.909756e-01
 4,  3,  2, 4.753941e-01
 4,  3,  3, 3.103803e-01
 4,  3,  4, 3.070514e-01
 4,  3,  5, 2.915113e-01
 4,  4,  0, 3.986077e-01
 4,  4,  1, 1.738322e+00
 4,  4,  2, 3.550958e-02
 4,  4,  3, 2.194825e-01
 4,  4,  4, 1.201957e-02
 4,  4,  5, 3.116333e-03
 4,  5,  0, 8.278414e-01
 4,  5,  1, 3.807748e-01
 4,  5,  2, 4.211088e-03
 4,  5,  3, 1.254532e-03
 4,  5,  4, 1.366594e-03
 4,  5,  5, 8.490535e-05
 4,  6,  0, 1.052345e+00
 4,  6,  1, 6.628685e-02
 4,  6,  2, 2.045489e-04
 4,  6,  3, 2.170846e-04
 4,  6,  4, 2.585497e-03
 4,  6,  5, 3.401135e-04
 4,  7,  0, 2.973350e-01
 4,  7,  1, 2.956168e-03
 4,  7,  2, 7.915932e-04
 4,  7,  3, 1.333717e-04
 4,  7,  4, 5.045901e-04
 4,  7,  5, 5.239309e-04
 4,  8,  0, 1.398976e-01
 4,  8,  1, 2.717975e-03
 4,  8,  2, 3.629286e-04
 4,  8,  3, 1.314442e-03
 4,  8,  4, 1.070963e-03
 4,  8,  5, 5.336650e-04
 4,  9,  0, 9.502053e-02
 4,  9,  1, 4.488932e-02
 4,  9,  2, 2.123509e-04
 4,  9,  3, 1.203310e-03
 4,  9,  4, 7.435384e-05
 4,  9,  5, 1.455134e-03
 4, 10,  0, 9.619081e-02
 4, 10,  1, 1.705633e-02
 4, 10,  2, 1.475593e-04
 4, 10,  3, 1.497821e-03
 4, 10,  4, 2.395527e-03
 4, 10,  5, 2.930230e-05
 5,  3,  0, 4.119816e-02
 5,  3,  1, 3.837656e-01
 5,  3,  2, 2.519095e-01
 5,  3,  3, 3.040803e-01
 5,  3,  4, 2.860454e-01
 5,  3,  5, 2.845129e-01
 5,  4,  0, 4.362083e-01
 5,  4,  1, 2.405298e-01
 5,  4,  2, 3.294019e-01
 5,  4,  3, 3.303248e-01
 5,  4,  4, 3.199081e-01
 5,  4,  5, 2.851001e-01
 5,  5,  0, 6.693090e-01
 5,  5,  1, 8.789459e-02
 5,  5,  2, 3.752340e-01
 5,  5,  3, 8.770335e-03
 5,  5,  4, 1.347493e-04
 5,  5,  5, 1.392073e-03
 5,  6,  0, 9.160264e-01
 5,  6,  1, 4.133484e-02
 5,  6,  2, 3.342459e-03
 5,  6,  3, 3.612628e-04
 5,  6,  4, 6.302307e-04
 5,  6,  5, 5.121607e-04
 5,  7,  0, 2.151188e-01
 5,  7,  1, 4.230541e-03
 5,  7,  2, 1.366221e-04
 5,  7,  3, 3.919132e-03
 5,  7,  4, 2.140820e-04
 5,  7,  5, 1.476563e-04
 5,  8,  0, 1.596603e-01
 5,  8,  1, 4.670228e-03
 5,  8,  2, 6.621776e-04
 5,  8,  3, 8.966229e-04
 5,  8,  4, 3.458788e-04
 5,  8,  5, 5.838091e-04
 5,  9,  0, 5.477376e-02
 5,  9,  1, 1.286338e-02
 5,  9,  2, 1.491223e-03
 5,  9,  3, 4.798851e-04
 5,  9,  4, 2.432156e-03
 5,  9,  5, 1.811792e-04
 5, 10,  0, 2.769884e-02
 5, 10,  1, 4.271042e-03
 5, 10,  2, 9.746697e-03
 5, 10,  3, 1.501919e-03
 5, 10,  4, 6.605103e-04
 5, 10,  5, 1.364413e-04
 6,  3,  0, 4.117878e-02
 6,  3,  1, 4.224283e-01
 6,  3,  2, 2.690713e-01
 6,  3,  3, 3.028081e-01
 6,  3,  4, 3.069758e-01
 6,  3,  5, 2.916385e-01
 6,  4,  0, 2.868136e-01
 6,  4,  1, 4.452896e-01
 6,  4,  2, 3.027051e-01
 6,  4,  3, 3.233292e-01
 6,  4,  4, 2.929463e-01
 6,  4,  5, 2.770701e-01
 6,  5,  0, 9.854676e-01
 6,  5,  1, 6.011663e-01
 6,  5,  2, 1.563110e-01
 6,  5,  3, 6.056774e-02
 6,  5,  4, 1.232803e-02
 6,  5,  5, 3.926955e-03
 6,  6,  0, 1.936390e+00
 6,  6,  1, 9.962411e-01
 6,  6,  2, 7.361974e-03
 6,  6,  3, 6.846381e-03
 6,  6,  4, 4.605596e-04
 6,  6,  5, 9.436240e-03
 6,  7,  0, 7.846976e-01
 6,  7,  1, 3.111160e-02
 6,  7,  2, 3.970411e-03
 6,  7,  3, 1.162319e-03
 6,  7,  4, 2.826134e-03
 6,  7,  5, 7.101422e-03
 6,  8,  0, 3.029067e-01
 6,  8,  1, 3.376351e-03
 6,  8,  2, 5.365937e-04
 6,  8,  3, 4.804626e-04
 6,  8,  4, 3.092307e-03
 6,  8,  5, 2.200100e-04
 6,  9,  0, 2.699551e-02
 6,  9,  1, 1.514684e-03
 6,  9,  2, 5.301500e-04
 6,  9,  3, 5.483329e-03
 6,  9,  4, 3.378243e-04
 6,  9,  5, 4.722425e-04
 6, 10,  0, 1.857739e-02
 6, 10,  1, 4.923790e-04
 6, 10,  2, 2.146282e-04
 6, 10,  3, 3.724765e-04
 6, 10,  4, 2.388202e-03
 6, 10,  5, 5.446309e-05
